'ANREDE';'TITEL';'GESCHLECHT';'VORNAME';'NAME';'STRASSE';'PLZ';'ORT';'EMAIL';'VORWAHL';'TELEFON';'ID';'LAND'
'k.A.';'';'d';'Bartho-Andy';'Salewski';'Johann-Krane-Weg 99';'7454';'Rona';'bartho_a.salewski@funmail.ch';'';'';'24767';'CH'
'k.A.';'';'d';'Ewald Dieterich';'Handschuh';'Zum Heidchen 35';'6951';'Signôra';'ewalddieterichhandschuh@live-mail.ch';'';'041 355 8270';'2884';'CH'
'Frau';'';'w';'Heimtraud Helmtraut';'Rosenberg';'Wallbachstrasse 52c';'1452';'Les Rasses';'heimtraudhelmtraut.rosenberg@email.ch';'';'047672633';'14523';'CH'
'Herr';'';'m';'Hildebrand';'Eisenblätter';'Zinhainer Weg 1';'4414';'Füllinsdorf';'hildebrand.eisenblaetter@domain.ch';'';'044 191 6209';'144706';'CH'
'Herr';'';'m';'Utto';'Volkmann';'Geilenkirchener Strasse 27';'48429';'Rheine';'utto_74@bestmail.de';'';'';'126032';'DE'
'Herr';'';'f';'Sigenot';'Stamm';'Heckhaus 88';'19288';'Leussow';'sigenot_stamm@spam-mail.de';'';'03874/48316077';'60822';'DE'
'Frau';'';'w';'Sylke';'Hannig';'Grevener Strasse 98';'6418';'Rothenthurm';'sylke.73@mymail.ch';'';'044 368 9111';'67276';'CH'
'';'';'';'Gundmar Jens';'Kuß';'Ursprungstrasse 120';'6268';'Grockstädt';'g-kuss@net-mail.de';'';'02685/19919188';'44008';'DE'
'';'';'w';'Herta';'Ostrowski';'Grootensweg 34';'6418';'Rothenthurm';'hertaostrowski@retromail.ch';'';'044 518 4216';'88706';'CH'
'';'';'m';'Liborius';'Gehring';'Altefeldstrasse 50';'7152';'Sagogn';'liborius_76@justmail.ch';'';'062 543 5443';'19695';'CH'
'Frau';'';'w';'Ilka';'Schlund';'Hufen 1';'1872';'Troistorrents';'i.1973@funmail.ch';'';'032/2049462';'18728';'CH'
'';'';'';'Nortrun-Rudolfina';'Sitter';'Nymweger Strasse 193';'65399';'Kiedrich';'nortrunr_sitter@spam-mail.de';'';'06123/64226471';'75768';'DE'
'Herr';'';'m';'Helmfried Christhelm';'Schubert';'Heidenheimer Strasse 8';'8226';'Schleitheim';'helmfriedchristhelmschubert@email.ch';'';'08143/97111728';'123741';'CH'
'Frau';'';'w';'Inka Anika';'Halbig';'Kluckstrasse 37';'5624';'Waldhäusern AG';'inkaanikahalbig@trashmail.ch';'';'065914002';'82762';'CH'
'k.A.';'';'d';'Hannegret Elselore';'Pollmeier';'Markenweg 85';'5621';'Zufikon';'hannegretelselorepollmeier@mymail.ch';'';'';'98143';'CH'
'Frau';'';'';'Biggy';'Kreibich';'Höven 133';'79350';'Sexau';'b_kreibich@company.de';'';'07641/72591873';'70563';'DE'
'Frau';'';'w';'Rena Wilgard';'Bas';'Berghauser Strasse 34';'32139';'Spenge';'r-1991@domain.de';'';'05225/99703700';'42465';'DE'
'';'';'w';'Irmgard';'Wünsche';'Neue Mühle 188';'78269';'Volkertshausen';'iwuensche@justmail.de';'';'07774/73125860';'160993';'DE'
'Frau';'';'w';'Anneheide';'Kroh';'Rottmannstrasse 137';'3957';'Erschmatt';'';'';'043811640';'17673';'CH'
'Frau';'';'w';'Inge';'Kirst';'Hochfelder Strasse 77';'6122';'Menznau';'i_kirst@live-mail.ch';'';'044 303 6940';'48906';'CH'
'Herr';'';'m';'Dethard';'Ratajczak';'Pommernweg 45 c';'2744';'Belprahon';'';'';'044/7901122';'197277';'CH'
'Herr';'';'m';'Winrich Hermann';'Werling';'Bakenfelder Weg 151';'44319';'Dortmund';'w-84@funmail.de';'';'0231/88804155';'61720';'DE'
'Frau';'';'f';'Margunde';'Kasten';'Hinter der Mauer 132';'1793';'Jeuss';'';'';'044/1509811';'179307';'CH'
'Herr';'';'m';'Adam';'Herling';'Ulmenweg 3';'1719';'Zumholz';'adam97@company.ch';'';'032/7515459';'7668';'CH'
'Frau';'Prof.';'w';'Gerdi';'Singleton';'Türmchenstrasse 164';'21481';'Schnakenbek';'gerdi-92@spam-mail.de';'';'04153/61892922';'1543';'DE'
'Herr';'';'m';'Treufried';'Bäumer-Morath';'Kornkamp 95';'30900';'Wedemark';'t_baeumer-morath@funmail.de';'';'05130/9596010';'119044';'DE'
'Herr';'';'m';'Dankhard';'Helmig';'Reeswinkeler Weg 81';'44801';'Bochum';'dankhard_helmig@ultramail.de';'';'06154/65795899';'44801';'DE'
'Frau';'';'w';'Nancy';'Dörfler';'Fritz-Erler-Strasse 71';'2935';'Beurnevésin';'nancy1973@inter-mail.ch';'';'';'29394';'CH'
'Frau';'';'';'Dana';'Adolph';'Bültenweg 19';'24791';'Alt Duvenstedt';'';'';'04338/41240806';'56334';'DE'
'Frau';'Dr.';'f';'Sylvana';'Zimmerling';'Reichshofstrasse 137';'1691';'Villarimboud';'szimmerling@quickmail.ch';'';'';'184048';'CH'
'Frau';'';'w';'Ria';'Pfitzner';'Forster Strasse 4';'96110';'Scheßlitz';'r83@goggle-mail.de';'';'09542/3522238';'115619';'DE'
'Herr';'';'m';'Jörn';'Brummer';'Kerkerfeld 18';'6122';'Menznau';'jbrummer@spam-mail.ch';'';'062 403 9460';'38615';'CH'
'Frau';'';'w';'Sina';'Diemer';'Döllersfeldchen 118';'48361';'Beelen';'sina-diemer@kitty.de';'';'02586/57838080';'1864';'DE'
'Herr';'';'m';'Eduardt';'Felber';'Köhlershohner Strasse 49';'63871';'Heinrichsthal';'';'';'06020/20590577';'14605';'DE'
'Frau';'';'w';'Friedegard Damaris';'Weyland';'Dillbrechter Strasse 49';'51381';'Leverkusen';'f.1989@live-mail.de';'';'0214/89482370';'97594';'DE'
'';'';'';'Klaudia';'Brombach-Fehrmann';'Ebbinghook 65';'3973';'Venthône';'klaudia-brombach-fehrmann@goggle-mail.ch';'';'056/9404459';'39739';'CH'
'';'';'w';'Gottfrieda';'Wernet';'Pastors Kamp 120';'56761';'Hambuch';'gottfrieda-wernet@ultramail.de';'';'';'155335';'DE'
'k.A.';'';'d';'Jannine';'Duwe-Hudson';'Alte Ziegelei 107';'1691';'Villarimboud';'j.duwehudson@bestmail.ch';'';'';'48451';'CH'
'Herr';'';'m';'Christopher-Erni';'Arenz';'Raingasse 172';'6542';'Buseno';'c.e.1970@kitty.ch';'';'062 620 4631';'177705';'CH'
'Frau';'Dr.';'w';'Gottholde';'Kupper';'Auf der Bornau 100';'96161';'Gerach';'gottholde-1986@quickmail.de';'';'09544/44429493';'58799';'DE'
'Herr';'';'m';'Jesse';'Schüler';'Auf dem Sand 162';'56729';'Nachtsheim';'j.schueler@funmail.de';'';'02651/31251509';'47974';'DE'
'Frau';'';'w';'Kornelia';'Linge-Kater';'Bahnstrasse 20';'55629';'Weitersborn';'';'';'06752/46608707';'69922';'DE'
'Frau';'';'w';'Kreszenz';'Kothe';'Haarener Strasse 20 a';'10719';'Berlin';'';'';'030/21647354';'42744';'DE'
'Herr';'';'m';'Alfhard Wolfrid';'Martin';'Müssingen 65';'7639';'Weißenborn';'alfhardwolfrid-martin@net-mail.de';'';'06721/90189894';'20548';'DE'
'Herr';'Dr.';'m';'Folker Nicolaus';'Krutsch';'Am Mühlenteich 19';'42369';'Wuppertal';'folkernicolauskrutsch@xyz.de';'';'';'51348';'DE'
'Frau';'Dr.';'w';'Margarete';'Schall';'Burggrafenstrasse 60';'33659';'Bielefeld';'margarete.schall@spam-mail.de';'';'0521/72621623';'93101';'DE'
'k.A.';'';'';'Margitte';'Bredemeier';'Oberdreiser Kopf 138';'21400';'Reinstorf';'';'';'04137/9577822';'15101';'DE'
'Frau';'';'w';'Irmlinde';'Gentner';'Im Sässel 73b';'6943';'Vezia';'i.gentner@trashmail.ch';'';'044/9236278';'191117';'CH'
'Frau';'';'w';'Juliana';'Borchardt';'Rauher Kamp 121';'1691';'Villarimboud';'';'';'044 268 7720';'35806';'CH'
'Herr';'';'m';'Fabio';'Kuttler';'Quellenstrasse 6';'4552';'Borna';'fabio.87@net-mail.de';'';'04392/78963722';'198733';'DE'
'Herr';'';'m';'Wido Sebald';'Görtz';'Auf dem Tempel 29';'4467';'Rothenfluh';'widosebald.goertz@retromail.ch';'';'044/7119565';'57727';'CH'
'Frau';'';'w';'Ella';'Dorn-Ramm';'Am Walde 4';'19288';'Göhlen';'e-83@validmail.de';'';'03874/25242193';'19098';'DE'
'Frau';'';'w';'Ignazia';'Löb';'Jungfrauenthal 189';'86609';'Donauwörth';'ignazia_91@spam-mail.de';'';'0906/18739050';'6806';'DE'
'k.A.';'';'';'Magnus Götz';'Pfarr';'Forsthaus 1';'4895';'Brottewitz';'';'';'04845/49689297';'26358';'DE'
'Frau';'';'w';'Josefine';'Wright';'Tegeler Strasse 33';'6917';'Barbengo';'josefine-wright@open-mail.ch';'';'056/6468115';'69179';'CH'
'';'';'w';'Susan';'Klusmann';'Hülsdonker Strasse 191 b';'58791';'Werdohl';'';'';'02392/47552171';'154068';'DE'
'';'';'';'Anouschka-Sibyl';'Luczak';'Im Steilen Stück 71';'1896';'Vouvry';'a.s_luczak@anymail.ch';'';'044 937 8463';'189606';'CH'
'';'';'w';'Emmely Alexa';'Rahe';'Lothringer Strasse 143';'9413';'Oberegg';'emmelyalexa77@private.ch';'';'068199483';'12212';'CH'
'Frau';'';'w';'Myriam';'Burr-Messerschmidt';'Hohe Oststrasse 109';'6314';'Neuägeri';'';'';'041 877 6757';'88794';'CH'
'Frau';'Dr. Dr.';'w';'Lilibeth';'Bahn';'Drosselweg 86';'58710';'Menden';'';'';'02373/62799094';'98651';'DE'
'';'';'';'Gerta Ria';'McCoy';'Theodor-Hürth-Strasse 160';'3855';'Schwanden b. Brienz';'';'';'05366/98934340';'79781';'CH'
'k.A.';'';'d';'Dittmar';'Stöger';'Thielenstrasse 195';'56459';'Bellingen';'';'';'02663/43279543';'63745';'DE'
'Frau';'';'w';'Olinde-Renata';'Blankenburg';'Tiefentaler Weg 173';'4457';'Diegten';'olinde-renata-blankenburg@email.ch';'';'044 970 5820';'23446';'CH'
'Herr';'Dr.';'m';'Siegert';'Greis';'Auf dem Domacker 33';'27321';'Wulmstorf';'siegertgreis@anymail.de';'';'04204/78631042';'89230';'DE'
'Frau';'';'f';'Catharina Sunhild';'Cole-Bayer';'Rätsgasse 176 b';'5614';'Sarmenstorf';'';'';'032/5224442';'56148';'CH'
'';'';'d';'Ignaz';'Liesegang';'Weitblick 106c';'67598';'Gundersheim';'ignaz.liesegang@domain.de';'';'06244/60652348';'1255';'DE'
'Frau';'';'';'Hildegard';'Francis';'Im Oberdorf 162';'6673';'Maggia';'hildegard.francis@spam-mail.ch';'';'041 725 9122';'66734';'CH'
'Herr';'';'';'Ali';'Steinebach';'Richard-Strauss-Strasse 158';'12629';'Hellersdorf';'alisteinebach@anymail.de';'';'';'30501';'DE'
'';'';'m';'Friedebert';'Kain';'Adenauer Strasse 68';'2552';'Orpund';'friedebert77@net-mail.ch';'';'';'23653';'CH'
'Frau';'';'';'Marlies';'Gluth';'Am Stiel 140';'82031';'Grünwald';'marlies.gluth@ultramail.de';'';'089/71685544';'63521';'DE'
'Frau';'';'w';'Ingeborg Jaqueline';'Wilkerson';'Mühltal 89 b';'3816';'Lütschental';'ingeborgjaqueline.wilkerson@live-mail.ch';'';'041 456 7203';'107894';'CH'
'';'';'d';'Konrad Theohold';'Herklotz';'Siegstrasse 10';'33758';'Schloß Holte-Stukenbrock';'konradtheohold.herklotz@funmail.de';'';'05207/59798690';'28117';'DE'
'Frau';'';'';'Cathrin';'Gensch';'Auf der Thomm 168';'1877';'Bischofswerda';'cathrin-93@open-mail.de';'';'04663/428949';'8313';'DE'
'Frau';'';'w';'Aslind Renate';'Ringe-Martel';'Feuerbachstrasse 89';'6542';'Allstedt';'aslindrenate.ringe-martel@funmail.de';'';'06536/99503260';'11336';'DE'
'Herr';'';'m';'Kai';'Kattner';'Rote Erde 142';'6284';'Gelfingen';'kaikattner@retromail.ch';'';'044/5124409';'85677';'CH'
'k.A.';'Dr.';'d';'Frithjof';'Enge';'Fichtestrasse 88';'55621';'Hundsbach';'';'';'06757/43254212';'150903';'DE'
'Herr';'';'m';'Liborius Ekkehardt';'Risse';'Maudener Weg 151';'9366';'Niederdorf';'liboriusekkehardtrisse@mymail.de';'';'04838/94348450';'150824';'DE'
'';'';'w';'Rathgunde';'Fabig-Zintl';'Mecklenburger Strasse 75';'1627';'Vaulruz';'rathgunde.fabig-zintl@private.ch';'';'056/9926387';'162749';'CH'
'k.A.';'';'d';'Gretl';'Figueroa-Kaufhold';'Alpenstrasse 18';'6418';'Rothenthurm';'gretl80@ultramail.ch';'';'041 383 7027';'73724';'CH'
'Frau';'';'w';'Waldtraud';'Reddig';'Birlinghovener Strasse 134';'45141';'Essen';'waldtraudreddig@quickmail.de';'';'0201/50900610';'45276';'DE'
'Frau';'';'m';'Ilsefriede';'Brammer-Kahraman';'Rosenthaler Weg 4';'4552';'Borna';'ibrammerkahraman@anymail.de';'';'04641/83073641';'53552';'DE'
'Herr';'';'m';'Erdwin';'Kuhnen';'Vinckestrasse 50';'24399';'Arnis';'erdwin_kuhnen@funmail.de';'';'';'160752';'DE'
'Frau';'';'w';'Klothildis-Annemarie';'Hack';'Kirchberg 43';'12559';'Berlin';'';'';'09856/8195579';'6138';'DE'
'';'';'';'Burghardt';'Springmann';'Pinnertstrasse 7';'8254';'Basadingen';'burghardt.94@open-mail.ch';'';'08179/28239607';'49671';'CH'
'';'';'w';'Yvonne';'Farr';'Ligusterweg 153';'74239';'Hardthausen am Kocher';'';'';'';'107039';'DE'
'Frau';'';'w';'Hildburga';'Thiele';'Morschenicher Strasse 159';'4719';'Ramiswil';'hildburga-thiele@domain.ch';'';'044/4323751';'13967';'CH'
'Frau';'';'w';'Irma';'Hornstein';'Am Wiesbrunnen 82';'1032';'Romanel-sur-Lausanne';'i.hornstein@private.ch';'';'';'1032';'CH'
'Frau';'';'w';'Bernhild Leandra';'Küchler';'Graf-von-Galen-Strasse 57';'6473';'Silenen';'b.kuechler@kitty.ch';'';'06063/40684817';'41271';'CH'
'Herr';'';'m';'Diethart-Maximillian';'Willms';'Breibacherhof 181';'27449';'Kutenholz';'diethart_m-willms@justmail.de';'';'04762/11432826';'165795';'DE'
'Herr';'';'m';'Kajetan';'Gsell';'Im Kebergrund 22';'4144';'Arlesheim';'';'';'041500368';'41443';'CH'
'Herr';'';'m';'Ingbert';'Sailer';'Holzpüschen 161';'55130';'Mainz am Rhein';'ingbert_sailer@bestmail.de';'';'06131/44340725';'55095';'DE'
'Frau';'';'w';'Kriemhilde Jördis';'Rohwedder';'Schnellbachstrasse 73';'7162';'Tavanasa';'kriemhildejoerdis.75@web.ch';'';'067430048';'99012';'CH'
'Herr';'';'m';'Steff';'Kellerer-Hammann';'Hamicher Strasse 100';'49448';'Brockum';'s-1997@retromail.de';'';'05443/20067831';'2285';'DE'
'Herr';'';'m';'Detmar';'Wilden';'Denkmalstrasse 90';'5453';'Remetschwil';'detmar-75@net-mail.ch';'';'062 623 2245';'38275';'CH'
'Herr';'';'m';'Lothar';'Jantz';'Kammerbruchstrasse 183';'6314';'Neuägeri';'lothar_jantz@anymail.ch';'';'056/5842586';'144939';'CH'
'Herr';'';'m';'Gert';'Kestler';'Hinter der Hage 7';'6775';'Ambrì';'';'';'056/4288209';'115159';'CH'
'Frau';'';'w';'Lysann Anneke';'Pfahl';'Am Waldpark 144';'71638';'Ludwigsburg';'lysannanneke_69@live-mail.de';'';'';'91853';'DE'
'';'';'';'Oskar-Harro';'Burkhard';'Auf dem Kornfeld 35';'56370';'Attenhausen';'oskarh_burkhard@quickmail.de';'';'02604/36704690';'63072';'DE'
'';'';'m';'Lasse';'Brenner';'Von-Droste-Hülshoff-Strasse 53';'6418';'Rothenthurm';'lasse-brenner@goggle-mail.ch';'';'041 132 1003';'182784';'CH'
'';'';'w';'Sabrina';'Gräber';'Auf dem Driesch 25';'47259';'Duisburg';'sabrina_1975@open-mail.de';'';'0203/24035764';'26437';'DE'
'';'';'w';'Annabelle';'Siebels-Manz';'Schlick 168';'55430';'Urbar';'';'';'06744/37321604';'81044';'DE'
'Herr';'';'m';'Gunfried';'Georgi';'Selbecke 161b';'24631';'Langwedel';'';'';'04329/42194968';'73645';'DE'
'Herr';'';'m';'Heinzhermann Horst';'Willmann';'Nonnenbacher Weg 184';'9366';'Niederdorf';'hwillmann@goggle-mail.de';'';'04952/80660438';'118286';'DE'
'Frau';'';'w';'Fridegund';'Behne';'Lausitzer Strasse 1';'4719';'Ramiswil';'';'';'045/2199771';'3680';'CH'
'Frau';'';'w';'Regelinde';'Durmus';'Ellbachstrasse 136';'4719';'Ramiswil';'regelindedurmus@open-mail.ch';'';'045/9346780';'99600';'CH'
'k.A.';'';'d';'Malin-Friedrun';'Bauermeister';'Heedfelder Strasse 27';'5467';'Fisibach';'m_friedrun-bauermeister@funmail.ch';'';'062444780';'128492';'CH'
'';'';'';'Barnabas';'Sandoval';'In der Bockemühle 51';'1757';'Noréaz';'b-sandoval@xyz.ch';'';'032/8457391';'78938';'CH'
'Frau';'';'w';'Adeline-Lottelore';'Wohlert';'Marg.-Flesch-Strasse 33';'8322';'Madetswil';'adelinelottelorewohlert@inter-mail.ch';'';'067772037';'7142';'CH'
'';'';'d';'Gottlieb';'Kraut';'Torwiesstrasse 36';'1122';'Romanel-sur-Morges';'g_kraut@quickmail.ch';'';'061844224';'112212';'CH'
'Frau';'';'w';'Hildelind';'Laser';'Kirchfeldstrasse 49';'4719';'Ramiswil';'hildelindlaser@email.ch';'';'';'59485';'CH'
'Herr';'';'m';'Wido';'Eggert';'Burscheder Weg 156';'5637';'Geltwil';'';'';'032/8485357';'108628';'CH'
'Frau';'';'w';'Adelheid Madita';'Rimbach';'An der Umflut 1';'6775';'Ambrì';'adelheidmadita.rimbach@funmail.ch';'';'062 485 3158';'76865';'CH'
'k.A.';'';'';'Siegwald Louis';'Högner';'Ursulastrasse 101';'24980';'Nordhackstedt';'siegwaldlouis-hoegner@kitty.de';'';'04639/24783387';'135855';'DE'
'Herr';'';'m';'Patrick';'Bucher';'Kleinfeldstrasse 173';'3707';'Därligen';'patrick-1971@funmail.ch';'';'062 323 7520';'164215';'CH'
'Herr';'';'m';'Wiegbert';'Griep';'Von Brule Strasse 159 b';'4453';'Nusshof';'wiegbert_griep@kitty.ch';'';'';'20172';'CH'
'Frau';'';'f';'Willma Marinette';'Ellinger-Nehls';'Offenbergstrasse 49';'56630';'Kretz';'w_72@bestmail.de';'';'02632/16186593';'54938';'DE'
'k.A.';'';'d';'Dietgard Layla';'Mahlberg';'Zum Steinbruch 28';'1197';'Prangins';'d_mahlberg@domain.ch';'';'045/8691207';'119770';'CH'
'';'';'w';'Rhiane';'Bernard';'Hündelsgasse 104';'24211';'Lehmkuhlen';'rhianebernard@company.de';'';'04342/79169051';'89781';'DE'
'Frau';'';'w';'Dela';'Frank';'Stettiner Strasse 186';'21039';'Escheburg';'d_frank@anymail.de';'';'04152/63833126';'34067';'DE'
'k.A.';'';'';'Marzel';'Dichtl';'Langenbochumer Strasse 123';'5235';'Rüfenach AG';'m_1983@anymail.ch';'';'069410888';'68652';'CH'
'k.A.';'';'';'Lebrecht';'Herzog';'Kluksborn 67';'1814';'La Tour-de-Peilz';'lebrecht.1983@anymail.ch';'';'056/4882988';'18149';'CH'
'';'';'w';'Margunde Huberta';'Krehl';'Jakobusstrasse 178';'6345';'Neuheim';'mkrehl@validmail.ch';'';'044 836 4005';'33406';'CH'
'k.A.';'';'d';'Ela';'Kees';'Hömel 115';'1816';'Chailly-Montreux';'ela1971@hoster.ch';'';'';'181625';'CH'
'Herr';'Dr.';'f';'Engelbert';'Oettel';'Sayntalstrasse 79';'4719';'Ramiswil';'engelbertoettel@justmail.ch';'';'063692961';'70042';'CH'
'Herr';'';'m';'Tankred';'Häberle';'Beethovenweg 118';'92431';'Neunburg vorm Wald';'tankred-haeberle@validmail.de';'';'09672/43354684';'171519';'DE'
'';'';'w';'Waldfriede';'Lanzinger';'Dümpelacker 43';'57629';'Wied';'waldfriede_lanzinger@domain.de';'';'';'180907';'DE'
'Frau';'';'w';'Mathilde';'Gaul-Lindenau';'Salzburger Strasse 96';'58769';'Nachrodt-Wiblingwerde';'mathilde.82@mymail.de';'';'02352/32138001';'101117';'DE'
'Herr';'';'m';'Vincenz';'Kolbeck';'Felderstrasse 172';'9452';'Hinterforst';'v-kolbeck@anymail.ch';'';'056/4941989';'83539';'CH'
'Frau';'';'w';'Gerritdina';'Bick';'Postdamm 75';'86748';'Marktoffingen';'gerritdina.bick@inter-mail.de';'';'09087/5976602';'71055';'DE'
'';'';'w';'Haralda-Adele';'Beller';'Meerackerring 57';'7323';'Wangs';'haralda-adelebeller@ultramail.ch';'';'044 347 9731';'93076';'CH'
'Herr';'';'m';'Ignatz';'Hau';'Balkertsweg 165';'1031';'Mex VD';'';'';'062 493 6604';'52835';'CH'
'';'Dr.';'d';'Annedoris';'Macke';'Steinbergen 193';'65620';'Waldbrunn';'annedoris.macke@justmail.de';'';'06479/25700557';'127543';'DE'
'Frau';'';'w';'Wolfhilde';'Latzel';'Salzwiese 66';'4719';'Ramiswil';'w.latzel@mymail.ch';'';'';'79569';'CH'
'Frau';'';'w';'Dorothea';'Dreesen';'In der Enke 81';'3380';'Wangen an der Aare';'dorothea.dreesen@live-mail.ch';'';'';'9590';'CH'
'Frau';'';'w';'Lidwina';'Gödecke-Leppin';'Wartburgstrasse 136';'53489';'Sinzig';'';'';'';'99197';'DE'
'Herr';'';'m';'Balthasar';'Heupel';'Nymweger Strasse 43';'27249';'Mellinghausen';'balthasar-87@validmail.de';'';'04272/86049646';'34190';'DE'
'';'';'m';'Gereon';'Posselt';'Johannes-Henkel-Strasse 56c';'22929';'Hamfelde';'gereonposselt@justmail.de';'';'';'150109';'DE'
'Herr';'';'f';'Neithard';'Kämper';'Hügelstrasse 200c';'53539';'Welcherath';'neithard_kaemper@anymail.de';'';'02692/445549';'81002';'DE'
'Frau';'';'';'Berngard';'Reissmann';'Am Geisberg 106';'3713';'Reichenbach im Kandertal';'berngard-reissmann@domain.ch';'';'05507/7067125';'16351';'CH'
'k.A.';'';'d';'Annetrud';'Moeller';'Jan-von-Werth-Strasse 84';'1757';'Noréaz';'annetrud1976@live-mail.ch';'';'032/3919055';'115508';'CH'
'k.A.';'';'d';'Wigand';'Eichholz';'Frohnwiese 116';'6314';'Neuägeri';'wigand-75@hoster.ch';'';'';'59064';'CH'
'';'';'';'Leonore';'Künzel';'Hübingerweg 95';'25761';'Warwerort';'l-1974@bestmail.de';'';'04834/97809657';'26618';'DE'
'';'';'m';'Janik';'Richarz';'Ellerstrasse 54';'6418';'Rothenthurm';'j.richarz@web.ch';'';'041 833 4199';'93874';'CH'
'Frau';'';'w';'Sylvia';'Dosch';'Am Tannenbusch 17';'6774';'Dalpe';'s-dosch@mymail.ch';'';'062 444 6136';'114375';'CH'
'Frau';'';'w';'Jaqueline';'Herre';'Erpeler Ley Strasse 181';'54578';'Basberg';'j.herre@validmail.de';'';'';'76964';'DE'
'Frau';'';'w';'Elselotte Alexandra';'Gajewski-Bolduan';'Waldstrasse 171';'46359';'Heiden';'elselottealexandra.92@web.de';'';'02867/62374762';'65585';'DE'
'Herr';'';'m';'Jobst';'Kleinschmidt';'Schapdettener Strasse 32';'54340';'Pölich';'jobst_kleinschmidt@live-mail.de';'';'06502/42269439';'21213';'DE'
'';'Dr.';'m';'Falkmar';'Knebel';'Scherfeldstrasse 149';'76189';'Karlsruhe';'f1985@anymail.de';'';'';'85842';'DE'
'Herr';'';'m';'Meinold';'Bigalke';'Knapp 54';'66919';'Saalstadt';'m.bigalke@spam-mail.de';'';'';'153013';'DE'
'Herr';'';'m';'Marzel Marold';'Venzke-Karp';'Alte Schulstrasse 136';'1718';'Rechthalten';'m.venzkekarp@private.ch';'';'';'171863';'CH'
'k.A.';'';'d';'Gesine';'Zündorf';'Hainstrasse 182';'2577';'Siselen BE';'g.1974@goggle-mail.ch';'';'044/5397134';'87207';'CH'
'Frau';'';'w';'Eileen Lerke';'Mania';'Kirschbaumstrasse 199';'2947';'Charmoille';'eileenlerkemania@validmail.ch';'';'044 538 3394';'180066';'CH'
'Herr';'';'m';'Heribert';'Eisenreich';'Hardt 128';'56170';'Bendorf';'heribert.77@web.de';'';'';'148845';'DE'
'';'Prof. Dr. Dr.';'m';'Hilmar Theohold';'Strebel';'Oleftal 33';'67259';'Kleinniedesheim';'hilmartheohold.strebel@spam-mail.de';'';'06233/50785935';'37902';'DE'
'Herr';'';'m';'Eginhardt';'Jabs';'Lembecker Strasse 37';'4719';'Ramiswil';'eginhardt_jabs@mymail.ch';'';'044/9253534';'73487';'CH'
'Frau';'';'w';'Sandra';'Mattner';'Waldheideweg 42';'23730';'Altenkrempe';'sandra-mattner@hoster.de';'';'04561/85571290';'9789';'DE'
'Frau';'';'w';'Lene';'Körber';'Seelbacher Weg 29';'6122';'Menznau';'lene-koerber@mymail.ch';'';'064632083';'37972';'CH'
'k.A.';'';'d';'Alfinus';'Wenner';'Koriolanstrasse 160';'90411';'Nürnberg';'alfinus-wenner@quickmail.de';'';'0911/70213028';'91377';'DE'
'k.A.';'';'d';'Luka';'Fabian';'Am Heckelchen 75';'6122';'Menznau';'luka-77@net-mail.ch';'';'047228606';'63243';'CH'
'Frau';'';'w';'Alina Marianne';'Jefferson';'Rheinberger Strasse 57';'9512';'Rossrüti';'alinamarianne_jefferson@spam-mail.ch';'';'0234/94215491';'94151';'CH'
'Frau';'';'w';'Oslinde';'Ellinger';'Hasley 135';'2952';'Cornol';'o_ellinger@live-mail.ch';'';'0581/96386026';'86881';'CH'
'Frau';'';'w';'Liah';'Saur';'Stöteroggestrasse 117';'6122';'Menznau';'';'';'';'99905';'CH'
'Herr';'';'m';'Rupprecht';'Liehr';'Stüttgerhofweg 153';'4719';'Ramiswil';'rupprecht_liehr@xyz.ch';'';'032/7281503';'57578';'CH'
'Frau';'';'w';'Urta';'Behrmann';'Genholter Strasse 57';'9036';'Grub SG';'';'';'06345/87042697';'90361';'CH'
'Frau';'';'w';'Sabrina';'Kreutzer';'Hambucher Strasse 26';'1691';'Villarimboud';'sabrina_kreutzer@net-mail.ch';'';'';'35885';'CH'
'';'';'m';'Hansgerd';'Clayton';'Haindorf 154';'1757';'Noréaz';'hansgerd.clayton@quickmail.ch';'';'';'128039';'CH'
'Frau';'';'w';'Rabea';'Albers';'Haferweg 19';'6418';'Rothenthurm';'rabea_albers@inter-mail.ch';'';'02684/78606601';'150581';'CH'
'Frau';'';'w';'Elselore';'Kubitz';'Miesgesweg 64';'54470';'Lieser';'elselore_kubitz@bestmail.de';'';'';'93223';'DE'
'Herr';'';'m';'Sibrand';'Dallmann';'Olper Strasse 93';'65629';'Niederneisen';'sibrand.86@quickmail.de';'';'06432/98755118';'10574';'DE'
'Herr';'';'m';'Jannes';'Rettberg';'Andernacher Strasse 54';'1594';'Gleina';'jannes-97@kitty.de';'';'';'13157';'DE'
'Herr';'';'m';'Burckhardt';'Oßwald';'Willicher Strasse 164';'22851';'Norderstedt';'burckhardt-osswald@web.de';'';'040/38475450';'60974';'DE'
'Herr';'';'m';'Meik';'Zoll';'Postdamm 158';'79359';'Riegel am Kaiserstuhl';'meik-zoll@private.de';'';'07642/20126211';'23260';'DE'
'Frau';'';'w';'Marielouise';'Haupenthal';'Iserlohner Strasse 176';'4467';'Rothenfluh';'marielouisehaupenthal@retromail.ch';'';'048088546';'98333';'CH'
'Frau';'';'w';'Siegfriede';'Gutberlet-Gräbner';'Am Grendel 103';'2612';'Cormoret';'siegfriede.gutberlet_graebner@domain.ch';'';'044209428';'49593';'CH'
